playername,wardsplaced,wardskilled,controlwardsbought,visionscore,games_played,ward_placement_rate,ward_kill_rate,controlward_rate,visionscore_rate
DenVoksne,721,604,192,2067,63,11.444444444444445,9.587301587301587,3.0476190476190474,32.80952380952381
Denathor,542,211,73,1245,44,12.318181818181818,4.795454545454546,1.6590909090909092,28.295454545454547
Destroy,195,151,107,642,16,12.1875,9.4375,6.6875,40.125
Destru,53,15,18,97,4,13.25,3.75,4.5,24.25
Devn,543,438,85,1560,61,8.901639344262295,7.180327868852459,1.3934426229508197,25.57377049180328
Devost,534,214,140,1330,37,14.432432432432432,5.783783783783784,3.7837837837837838,35.945945945945944
Dextyle,716,165,141,1391,14,51.142857142857146,11.785714285714286,10.071428571428571,99.35714285714286
Dezo,54,24,3,105,5,10.8,4.8,0.6,21.0
Dhokla,32,23,9,89,3,10.666666666666666,7.666666666666667,3.0,29.666666666666668
DiDi,461,183,174,1118,36,12.805555555555555,5.083333333333333,4.833333333333333,31.055555555555557
Diable,1036,825,300,2924,78,13.282051282051283,10.576923076923077,3.8461538461538463,37.48717948717949
Diamond,788,202,219,1686,16,49.25,12.625,13.6875,105.375
Dinai,70,49,53,234,6,11.666666666666666,8.166666666666666,8.833333333333334,39.0
Dinastik,123,59,51,355,13,9.461538461538462,4.538461538461538,3.923076923076923,27.307692307692307
Dino,52,108,44,377,10,5.2,10.8,4.4,37.7
Dionelux,616,160,172,1249,49,12.571428571428571,3.2653061224489797,3.510204081632653,25.489795918367346
Dipi,61,28,23,154,5,12.2,5.6,4.6,30.8
Diplex,596,248,326,1519,43,13.86046511627907,5.767441860465116,7.5813953488372094,35.325581395348834
Dire,504,282,238,1301,46,10.956521739130435,6.130434782608695,5.173913043478261,28.282608695652176
Disamis,359,509,319,2010,41,8.75609756097561,12.414634146341463,7.780487804878049,49.02439024390244
Diva,47,50,14,201,6,7.833333333333333,8.333333333333334,2.3333333333333335,33.5
Divine,200,81,46,492,23,8.695652173913043,3.5217391304347827,2.0,21.391304347826086
DizL,13,5,0,25,2,6.5,2.5,0.0,12.5
Dizin,437,449,390,1916,42,10.404761904761905,10.69047619047619,9.285714285714286,45.61904761904762
Djoko,268,268,177,1351,36,7.444444444444445,7.444444444444445,4.916666666666667,37.52777777777778
Dman,14,11,1,49,2,7.0,5.5,0.5,24.5
DnDn,730,206,326,1514,40,18.25,5.15,8.15,37.85
