playername,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
Yukino,3519.927272727273,3636.6181818181817,69.05454545454545,3404.8727272727274,3638.6545454545453,68.67272727272727,115.05454545454545,-2.036363636363636,0.38181818181818183,1.018181818181818,0.9636363636363636,0.5272727272727272,0.6181818181818182,0.7454545454545455,0.6181818181818182,5349.872727272727,5917.927272727273,106.10909090909091,5171.963636363636,5852.472727272727,105.56363636363636,177.9090909090909,65.45454545454545,0.5454545454545454,1.7272727272727273,1.7272727272727273,0.9454545454545454,1.1272727272727272,1.2727272727272727,0.9636363636363636,7330.090909090909,8475.90909090909,139.72727272727272,7037.254545454545,8369.690909090908,140.96363636363637,292.8363636363636,106.21818181818182,-1.2363636363636363,2.272727272727273,3.0727272727272728,1.5272727272727273,1.6545454545454545,2.2363636363636363,1.4545454545454546,9140.722222222223,11090.111111111111,170.1851851851852,8742.703703703704,10633.962962962964,170.0,398.01851851851853,456.14814814814815,0.18518518518518517,2.8333333333333335,4.851851851851852,1.9814814814814814,2.111111111111111,3.1666666666666665,2.240740740740741
Yume,2335.15,2187.25,12.75,2520.6,2369.85,11.2,-185.45,-182.6,1.55,0.2,1.65,1.25,0.4,2.4,0.7,3579.95,3135.9,18.7,3871.2,3586.4,18.55,-291.25,-450.5,0.15,0.4,2.75,2.05,0.8,3.75,1.15,4701.05,4420.65,22.6,5101.6,5013.75,21.65,-400.55,-593.1,0.95,0.55,4.35,3.0,1.0,5.95,1.65,5897.85,5951.4,25.7,6410.4,6905.75,24.6,-512.55,-954.35,1.1,0.6,6.6,4.15,1.2,9.05,2.25
Yupps,3329.974358974359,4712.74358974359,79.51282051282051,3364.7179487179487,4715.7692307692305,81.92307692307692,-34.743589743589745,-3.0256410256410255,-2.41025641025641,0.41025641025641024,0.23076923076923078,0.358974358974359,0.3333333333333333,0.3333333333333333,0.3333333333333333,5078.51282051282,7361.179487179487,127.84615384615384,5198.846153846154,7347.282051282052,130.17948717948718,-120.33333333333333,13.897435897435898,-2.3333333333333335,0.48717948717948717,0.6923076923076923,0.6410256410256411,0.5128205128205128,0.7435897435897436,0.5128205128205128,7075.2307692307695,10023.794871794871,169.82051282051282,7260.794871794872,10021.28205128205,172.3846153846154,-185.56410256410257,2.5128205128205128,-2.5641025641025643,1.0769230769230769,1.4871794871794872,1.1025641025641026,0.9487179487179487,1.3846153846153846,1.1538461538461537,9186.052631578947,12788.368421052632,209.05263157894737,9154.28947368421,12579.947368421053,211.89473684210526,31.763157894736842,208.42105263157896,-2.8421052631578947,1.8157894736842106,2.6578947368421053,1.5526315789473684,1.2894736842105263,2.5526315789473686,1.736842105263158
Yur4ik,2353.5,2545.3888888888887,14.444444444444445,2233.5555555555557,2480.6111111111113,13.833333333333334,119.94444444444444,64.77777777777777,0.6111111111111112,0.16666666666666666,0.8333333333333334,0.2777777777777778,0.1111111111111111,0.8888888888888888,0.3888888888888889,3712.0,3795.0555555555557,22.055555555555557,3532.0,3613.3333333333335,19.666666666666668,180.0,181.72222222222223,2.388888888888889,0.5555555555555556,1.8333333333333333,1.0555555555555556,0.2777777777777778,2.6666666666666665,1.1111111111111112,4902.5,5512.388888888889,26.11111111111111,4690.5,5090.222222222223,23.555555555555557,212.0,422.1666666666667,2.5555555555555554,0.7222222222222222,3.6666666666666665,1.5,0.3888888888888889,4.222222222222222,1.7222222222222223,6034.888888888889,7277.444444444444,29.61111111111111,5838.333333333333,6735.833333333333,27.555555555555557,196.55555555555554,541.6111111111111,2.0555555555555554,0.8888888888888888,5.777777777777778,2.1666666666666665,0.4444444444444444,6.5,2.388888888888889
Yuri,3521.7,4566.7,78.4,3572.5,4741.6,87.9,-50.8,-174.9,-9.5,0.9,0.7,0.7,0.6,0.8,0.5,5744.1,7159.1,126.3,5849.3,7450.5,135.3,-105.2,-291.4,-9.0,1.9,1.3,1.3,1.8,1.8,1.0,8098.6,9800.5,170.4,8194.9,10288.0,178.8,-96.3,-487.5,-8.4,2.8,2.7,2.2,3.0,2.9,1.6,10434.9,12842.5,209.5,10439.0,12818.2,216.1,-4.1,24.3,-6.6,3.7,5.3,2.8,4.3,4.1,2.4
Yuros,3140.0,4513.0,79.0,3452.0,4894.0,93.0,-312.0,-381.0,-14.0,0.0,2.0,1.0,0.0,1.0,0.0,5140.0,6948.0,125.0,5316.0,7085.0,137.0,-176.0,-137.0,-12.0,1.0,2.0,1.0,1.0,2.0,1.0,6461.0,8876.0,149.0,7368.0,9547.0,176.0,-907.0,-671.0,-27.0,1.0,5.0,2.0,2.0,3.0,2.0,8418.0,11011.0,189.0,9048.0,12109.0,210.0,-630.0,-1098.0,-21.0,1.0,6.0,3.0,2.0,4.0,2.0
Yusah,3401.9583333333335,3606.8333333333335,67.58333333333333,3430.8333333333335,3741.7083333333335,70.91666666666667,-28.875,-134.875,-3.3333333333333335,0.5833333333333334,1.125,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.25,5149.708333333333,5865.875,103.54166666666667,5307.833333333333,6037.375,107.95833333333333,-158.125,-171.5,-4.416666666666667,0.9583333333333334,2.25,1.0,1.25,1.6666666666666667,0.9166666666666666,7022.583333333333,8461.416666666666,137.25,7315.541666666667,8706.416666666666,144.125,-292.9583333333333,-245.0,-6.875,1.4166666666666667,3.7083333333333335,1.375,1.9583333333333333,2.8333333333333335,1.4583333333333333,8807.958333333334,11022.166666666666,166.08333333333334,9044.375,11135.083333333334,174.20833333333334,-236.41666666666666,-112.91666666666667,-8.125,2.125,5.25,1.7083333333333333,2.5416666666666665,3.875,2.2916666666666665
Yuta,3252.0666666666666,3319.5333333333333,59.6,3396.6,3661.133333333333,68.46666666666667,-144.53333333333333,-341.6,-8.866666666666667,0.6,1.1333333333333333,0.7333333333333333,0.6,1.0666666666666667,0.6666666666666666,5044.466666666666,5656.933333333333,94.0,5368.533333333334,5898.666666666667,104.0,-324.06666666666666,-241.73333333333332,-10.0,1.2,2.4,1.3333333333333333,1.4666666666666666,2.2666666666666666,1.2,6672.866666666667,7912.2,121.4,7379.933333333333,8663.8,139.4,-707.0666666666667,-751.6,-18.0,1.5333333333333334,4.066666666666666,2.1333333333333333,1.8666666666666667,4.4,2.066666666666667,8403.733333333334,10401.733333333334,148.86666666666667,9177.866666666667,11470.333333333334,169.53333333333333,-774.1333333333333,-1068.6,-20.666666666666668,2.066666666666667,5.866666666666666,3.0,2.3333333333333335,6.466666666666667,2.933333333333333
Yuu,3073.8837209302324,4562.069767441861,71.46511627906976,3308.186046511628,4700.279069767442,76.48837209302326,-234.30232558139534,-138.2093023255814,-5.023255813953488,0.27906976744186046,0.18604651162790697,0.5116279069767442,0.4418604651162791,0.3953488372093023,0.37209302325581395,4903.558139534884,7227.162790697675,115.72093023255815,5153.186046511628,7315.860465116279,118.93023255813954,-249.62790697674419,-88.69767441860465,-3.2093023255813953,0.7209302325581395,0.813953488372093,0.9069767441860465,0.8372093023255814,0.9302325581395349,0.8837209302325582,6803.186046511628,9835.813953488372,153.09302325581396,7284.7441860465115,10117.697674418605,157.4418604651163,-481.5581395348837,-281.8837209302326,-4.348837209302325,1.372093023255814,1.6744186046511629,1.627906976744186,1.7906976744186047,1.930232558139535,1.441860465116279,8704.7,12366.575,187.15,9254.625,12732.6,191.225,-549.925,-366.025,-4.075,1.875,2.75,2.45,2.3,3.775,2.025
Yuuji,3393.896551724138,3806.896551724138,72.96551724137932,3300.7241379310344,3703.0,70.48275862068965,93.17241379310344,103.89655172413794,2.4827586206896552,0.3448275862068966,0.6896551724137931,0.3103448275862069,0.3103448275862069,0.5172413793103449,0.2413793103448276,5157.0,6126.517241379311,110.6896551724138,5011.103448275862,5932.379310344828,107.58620689655173,145.89655172413794,194.13793103448276,3.103448275862069,0.7586206896551724,1.4827586206896552,0.5172413793103449,0.6551724137931034,1.1379310344827587,0.5517241379310345,7094.172413793103,8802.758620689656,149.0,6830.413793103448,8438.206896551725,142.0344827586207,263.7586206896552,364.55172413793105,6.9655172413793105,1.103448275862069,2.6551724137931036,0.9310344827586207,1.0689655172413792,2.206896551724138,1.0,9019.464285714286,11558.285714285714,184.57142857142858,8485.0,10763.57142857143,172.64285714285714,534.4642857142857,794.7142857142857,11.928571428571429,1.6785714285714286,4.214285714285714,1.0714285714285714,1.5,2.6785714285714284,1.7142857142857142
ZOEN,3229.945945945946,4644.783783783784,75.62162162162163,3405.945945945946,4779.810810810811,82.43243243243244,-176.0,-135.02702702702703,-6.8108108108108105,0.32432432432432434,0.2972972972972973,0.4594594594594595,0.40540540540540543,0.2972972972972973,0.35135135135135137,5064.648648648648,7276.216216216216,120.02702702702703,5228.081081081081,7309.486486486487,126.32432432432432,-163.43243243243242,-33.270270270270274,-6.297297297297297,0.7297297297297297,0.4864864864864865,0.918918918918919,0.7027027027027027,0.7297297297297297,0.7567567567567568,6941.621621621622,9880.162162162162,158.9189189189189,7165.189189189189,9881.486486486487,165.97297297297297,-223.56756756756758,-1.3243243243243243,-7.054054054054054,1.054054054054054,1.5675675675675675,1.4054054054054055,1.2162162162162162,1.5405405405405406,1.3513513513513513,8870.361111111111,12562.916666666666,189.11111111111111,9160.805555555555,12157.277777777777,198.83333333333334,-290.44444444444446,405.6388888888889,-9.722222222222221,1.8611111111111112,3.638888888888889,2.0555555555555554,1.9722222222222223,2.6944444444444446,2.361111111111111
ZUIAN,3520.0,4715.875,85.125,3147.375,4523.625,71.75,372.625,192.25,13.375,0.625,0.25,0.25,0.375,0.75,0.625,5689.25,7459.625,131.25,4811.75,7026.625,110.25,877.5,433.0,21.0,1.25,1.125,0.5,0.625,1.25,1.375,8064.125,10034.5,168.0,7037.375,9859.125,147.75,1026.75,175.375,20.25,2.875,2.0,1.625,1.625,3.875,2.125,10032.57142857143,12657.142857142857,210.85714285714286,9013.714285714286,12868.0,186.42857142857142,1018.8571428571429,-210.85714285714286,24.428571428571427,3.4285714285714284,2.2857142857142856,2.2857142857142856,1.7142857142857142,6.428571428571429,2.4285714285714284
