playername,score,kills,deaths,assists,damagetochampions
Abyss,1633.054,116,245,833,684054
Kaze,1633.028,251,130,338,1044028
Bluffing,1631.936,39,354,1018,574936
Kryze,1630.731,148,158,366,1116731
Bvoy,1628.742,164,101,231,1233742
Midnight,1621.328,237,108,377,1007328
Ice,1620.574,206,95,257,1157574
Guertas,1620.531,281,143,539,800531
Saber,1620.398,175,154,345,1100398
DARKWINGS,1620.19,151,100,277,1192190
JiaQi,1618.188,194,147,239,1185188
Kaiwing,1615.156,65,221,1028,522156
Envy,1613.129,196,111,328,1089129
Sparda,1612.975,216,124,303,1093975
Huron,1612.841,181,136,376,1055841
Gury,1612.778,215,168,457,940778
Harbo,1608.558,210,155,298,1100558
Quantum,1607.804,76,286,936,595804
Saii,1603.103,226,147,253,1124103
Lehends,1600.614,107,456,805,688614
RenYe,1600.57,276,192,480,844570
Zkai,1600.2,191,165,246,1163200
Angel,1598.5430000000001,148,87,346,1104543
Xeonerr,1593.981,212,202,512,869981
Potent,1593.832,173,196,354,1066832
Jackies,1591.611,173,153,258,1160611
Goliath,1591.537,89,348,875,627537
Rust,1588.416,231,179,291,1066416
Mireu,1587.986,182,152,277,1128986
ANDARIEL,1587.471,209,128,283,1095471
Stefan,1584.934,193,162,488,903934
DahVys,1584.763,230,180,493,861763
Kino,1583.554,98,364,941,544554
Darkeszy,1583.029,206,154,320,1057029
Ferret,1582.969,177,140,570,835969
Yukino,1580.315,231,185,452,897315
Eddie,1579.931,188,87,291,1100931
1Jiang,1578.366,154,182,335,1089366
Pleasure,1577.607,80,296,951,546607
Wildenbruch,1574.609,113,387,839,622609
Cboi,1571.786,176,214,556,839786
Scorth,1571.448,237,85,234,1100448
kehvo,1570.765,201,120,281,1088765
White,1570.386,202,212,492,876386
Tactical,1568.815,247,76,216,1105815
Grave,1565.691,213,143,284,1068691
ianshaka,1565.451,220,80,278,1067451
TenT,1563.979,213,166,281,1069979
ShazQ,1562.91,140,222,629,793910
buffi,1561.593,174,157,258,1129593
Koala,1559.484,95,273,786,678484
DM history,1559.125,259,115,323,977125
Kaiser,1558.512,68,247,928,562512
Lukyss,1555.721,243,125,251,1061721
nuc,1552.651,160,109,293,1099651
Nille,1551.158,190,153,342,1019158
Competitive,1550.616,176,170,381,993616
Pyosik,1549.6689999999999,189,237,458,902669
vital,1546.573,175,149,306,1065573
Shy Carry,1545.7259999999999,185,131,288,1072726
Mietek,1543.515,175,146,295,1073515
Thanatos,1541.806,163,114,322,1056806
13,1538.356,229,143,240,1069356
Chien,1537.926,179,183,327,1031926
Hailstone,1537.921,90,333,949,498921
KOUBEE,1536.425,159,160,300,1077425
Trigo,1531.118,197,140,272,1062118
Impact,1530.961,152,176,329,1049961
FBI,1530.913,180,107,252,1098913
Ibai,1529.14,219,93,211,1099140
iwanan,1528.756,183,130,285,1060756
Mishi,1527.6589999999999,199,135,266,1062659
Kofte,1525.989,157,112,344,1024989
ESCIK,1525.866,192,112,268,1065866
Inspire,1524.961,177,171,274,1073961
Karsa,1522.383,170,212,499,853383
Celo,1521.77,192,109,278,1051770
Bada,1521.641,189,179,273,1059641
Bcan,1520.421,197,129,308,1015421
Anyone,1518.909,203,141,240,1075909
MihawK,1517.417,265,198,323,929417
Ivory,1517.296,161,141,316,1040296
Neramin,1511.852,290,134,252,969852
JACTROLL,1511.29,97,298,832,582290
Xerxe,1508.64,186,119,467,855640
Quid,1506.146,175,110,277,1054146
Deant9,1506.042,218,164,312,976042
marlon,1503.574,80,286,880,543574
Ka1ser,1503.45,167,223,279,1057450
Skeanz,1503.354,204,163,478,821354
LADYBUG,1501.674,178,127,243,1080674
Tatu,1501.46,205,139,457,839460
DG suyahime,1499.357,221,107,340,938357
rre,1499.345,201,154,352,946345
Matislaw,1499.231,122,105,293,1084231
Shogun,1498.45,180,98,274,1044450
Toumes,1498.195,191,135,323,984195
Cheng9,1497.978,211,193,256,1030978
kkkkkkkkk,1496.387,197,163,272,1027387
Warner,1495.548,227,140,228,1040548
AKaJe,1495.412,183,170,238,1074412
Wicked,1493.693,194,162,303,996693
R0se,1493.116,251,194,262,980116
Marco,1492.194,86,270,853,553194
Markoon,1487.8700000000001,158,152,479,850870
Kireas,1485.701,241,144,431,813701
tol2,1483.327,167,189,342,974327
Yakkey,1482.827,227,118,233,1022827
CRoNiiK,1476.824,131,150,583,762824
Chasy,1476.141,168,134,277,1031141
TNS,1474.673,78,368,898,498673
Marble,1471.688,172,102,222,1077688
iBo,1471.482,154,178,282,1035482
Junhao,1470.806,197,162,408,865806
MISSING,1469.45,62,358,857,550450
Deadly,1468.778,170,106,233,1065778
Bobsik,1468.685,173,157,282,1013685
Skyy,1467.651,192,95,301,974651
Mobility,1466.59,181,96,244,1041590
Driver,1463.8790000000001,112,120,374,977879
Insanity,1462.967,186,86,289,987967
Kreative,1462.263,223,177,315,924263
Faded,1462.261,180,174,242,1040261
Fun K3y,1461.065,202,97,255,1004065
Andil,1461.035,52,352,830,579035
chico,1460.902,189,114,312,959902
Route,1460.21,157,85,247,1056210
B Butcher,1460.1970000000001,84,342,882,494197
Dyenn,1459.501,189,94,258,1012501
FENZ1,1458.025,190,94,293,975025
Exofeng,1457.229,237,101,227,993229
Wizer,1456.905,159,125,292,1005905
Patch,1455.548,80,263,898,477548
Batuuu,1453.5,86,233,856,511500
Fresskowy,1452.509,167,103,270,1015509
Ragner,1445.341,138,119,365,942341
Puddin,1441.924,196,95,269,976924
Esko,1440.6680000000001,203,92,281,956668
Xin,1439.582,197,210,397,845582
Sojo,1437.383,140,188,451,846383
Piero,1437.092,74,225,886,477092
D4nKa,1435.416,140,155,495,800416
Hydra,1430.777,176,117,281,973777
Nenad,1430.676,236,145,211,983676
Wind1,1429.627,184,146,303,942627
APP,1427.003,140,148,311,976003
Palafox,1426.114,130,126,262,1034114
Bonnie,1426.0529999999999,179,155,448,799053
Harky,1420.179,211,118,235,974179
Dire,1418.41,171,90,285,962410
Zewih,1413.113,205,108,261,947113
TT,1408.143,175,159,296,937143
Kaymin,1407.539,180,142,273,954539
Morttheus,1405.461,181,86,232,992461
NoWay,1404.878,164,119,255,985878
Grevthar,1404.367,162,102,292,950367
Tockimo,1403.885,72,339,765,566885
Qats,1401.825,156,102,332,913825
Diplex,1399.701,140,96,252,1007701
VirusFx,1399.1390000000001,214,79,239,946139
Horder,1397.139,166,157,248,983139
Rabelo,1396.644,211,59,283,902644
Labrov,1394.753,56,287,800,538753
NoName,1393.6,134,169,454,805600
Feather,1392.689,57,356,852,483689
113,1388.892,129,196,420,839892
Visdom,1388.318,64,264,845,479318
Ahn,1386.929,163,92,263,960929
Snaker,1385.322,162,107,263,960322
Time,1385.297,208,145,347,830297
Elio,1384.108,41,247,820,523108
Jezu,1382.046,189,100,231,962046
Washidai,1379.993,157,123,365,857993
sasi,1378.24,140,156,302,936240
Chan,1375.806,195,98,260,920806
Sword,1375.239,140,117,276,959239
Likai,1373.1870000000001,178,243,225,970187
sajed,1372.13,194,56,245,933130
eaRyz,1369.277,188,169,458,723277
Pangjin,1369.277,188,125,217,964277
Jankos,1365.767,183,142,466,716767
Kulvas,1364.904,153,138,279,932904
Centu,1360.17,73,221,842,445170
Array,1359.508,146,91,222,991508
