playername,kills,deaths,assists,damagetochampions,dpm,visionscore,totalgold
DIV Pro Hanter,26,8,11,101271,1253.7647499999998,59,40611
DIV pdr,4,3,18,29597,703.295,25,15624
DIV spoint,5,3,27,66755,877.5759,76,27156
DK Nevid,19,13,24,70823,723.7694,67,40155
DK Seonwoo,34,6,37,92124,942.107475,72,49552
DK Shadow,3,9,76,24864,258.90925,360,28955
DM SUISEI,52,42,73,177162,641.6461,256,117525
DM StarRanger,21,14,41,98038,656.98816,121,62323
DM history,259,115,323,977125,849.8546899999999,975,501914
DM p1ng,171,90,139,623295,798.5536777777778,621,363328
DM ping,72,31,45,246344,918.4661899999999,203,129638
DM poshigi8,43,11,45,112191,877.0829200000001,103,58020
DNF Euphoria,25,15,33,119805,686.52074,173,73357
DNTL,59,62,74,340073,747.7660133333334,337,181759
DOMOLES,56,41,83,282083,757.5522000000001,264,150191
DOOM,116,123,400,606219,469.2238675,2130,464902
DRX Lirua,7,23,47,28436,166.63984,613,39696
DRX Nerion,9,21,38,58569,339.9731,221,52471
DRX Sun eater,14,23,34,87901,509.36566000000005,136,59797
DRX XeRone,24,18,21,109906,626.59194,165,70731
DS Pooya,6,5,14,50064,809.5922499999999,44,26020
DVLK,377,252,515,1697226,786.7994086956522,1732,926471
Daemi,60,63,91,397284,737.81,508,209996
Dafnis,1,19,11,43318,508.6406666666667,59,26755
