teamname,objective_score,result
Tan'i eSports CZ,17.125,23
Team BDS,17.916666666666668,17
Team BDS Academy,12.948275862068966,6
Team Blaze 1,1.0,0
Team Evermeet,14.204545454545455,5
Team Flash,18.425,22
Team Heretics,13.545454545454545,16
Team High Ground,22.5,1
Team Insidious,16.885416666666668,21
Team Liquid,18.35,32
Team Meliora,8.5,0
Team Mentality,13.4,2
Team Paradox,14.881578947368421,16
Team Phantasma,21.685185185185187,57
Team Refuse,12.88888888888889,3
Team Revolta,9.0,0
Team Secret Whales,17.27173913043478,27
Team Tockers,21.0,1
Team UNiTY,17.82,23
Team Valiant,20.52173913043478,30
Team Vitality,15.837837837837839,15
Team WE,,47
Team WE Academy,23.071428571428573,5
TeamOrangeGaming,17.193548387096776,34
TeamOrangeGaming Academy,14.928571428571429,4
Temper &amp; Friends,21.666666666666668,3
The Forbidden Five,5.944444444444445,0
The Secret Club,11.147058823529411,6
ThunderTalk Gaming,,34
ThunderTalk Gaming Young,11.285714285714286,2
Tigers eSports,9.083333333333334,1
Top Esports,10.590909090909092,82
Top Esports Challenger,16.0625,5
UCAM Esports,16.261363636363637,21
ULF Esports,16.701612903225808,29
Ultra Prime,,24
Underworld Esports,18.15625,7
Unicorns of Love Sexy Edition,18.714285714285715,32
Universae Instituto FP,16.328125,16
V3 Esports,12.288461538461538,7
VARREL YOUTH,17.205882352941178,30
VININE,13.333333333333334,1
Vancouver Impact,9.277777777777779,1
VeLocitY (Japanese Team),10.166666666666666,0
VelbeliKaizokudan,11.526315789473685,9
Veni Vidi Vici,17.693877551020407,25
Venomcrest Esports,13.0,9
Venus Gaming,18.083333333333332,4
Verdant,19.65625,28
VfB eSports,16.0,1
Vitality.Bee,18.62727272727273,29
Vivo Keyd Stars,17.01219512195122,21
Vivo Keyd Stars Academy,20.69047619047619,27
Void Requiem,10.833333333333334,1
Vortex (Japanese Team),15.323529411764707,6
WAP Esports,15.921875,14
WLGaming Esports,16.486486486486488,16
We Can Win,18.681818181818183,7
Weibo Gaming,,50
Weibo Gaming Youth Team,14.454545454545455,5
West Point Esports,17.62962962962963,48
White Dragons,17.142857142857142,4
Winthrop University,16.238636363636363,17
XV eSports,15.38888888888889,4
Xibalbá Esports,11.1,0
Yang Yang Gaming,18.0,33
ZETA,10.222222222222221,5
ZGDX Gaming,15.35,4
