playername,cs_total,cspm,minionkills,monsterkills,games_played
Biofrost,1001.0,0.01789263246123528,998.0,3,28
Birkyy,1229.0,0.12634846763779745,1205.0,24,5
Biskoo,781.0,0.013311327317052429,780.0,1,30
Bissejr15,9273.0,0.1319642419055882,9200.0,73,39
Bitse,1740.0,0.09696720047401174,187.0,1553,10
Bizyze,101.0,0.016315280087502798,101.0,0,4
Blaber,11891.0,0.11826165606089825,1098.0,10793,51
BlackSwan,10889.0,0.15512871635736092,10630.0,259,35
Blackout,1213.0,0.12475721011768001,1206.0,7,5
Bladeshow,763.0,0.11603004930842542,749.0,14,3
BlauRosen,528.0,0.10797388941048632,528.0,0,3
Blesia,7138.0,0.13903953283079054,6882.0,256,28
Blind Walker,4640.0,0.09455509245595278,525.0,4115,23
Bloopy,156.0,0.017808432342029258,156.0,0,5
Blue,143.0,0.019379824374240674,143.0,0,4
Blueboar,3871.0,0.09283202496432227,373.0,3498,23
Bluffing,3112.0,0.017859600702653453,3104.0,8,89
Boal,10510.0,0.1312172646166689,10333.0,177,41
Bobsik,11841.0,0.12206124842724471,11663.0,178,50
Boda,19168.0,0.14092543832627655,18396.0,772,76
Bojji,2568.0,0.10322196389200544,302.0,2266,14
Bola,6755.0,0.14911133357351175,6465.0,290,21
Bold,8065.0,0.14860765903897782,7793.0,272,25
Bolyy1,345.0,0.015238373749926433,340.0,5,12
Bong,8172.0,0.12498053136985961,8056.0,116,33
Bonnie,12042.0,0.11334472493339864,1215.0,10827,55
Boohis,387.0,0.016223326716582304,381.0,6,11
Booki,7876.0,0.09512803575013859,1000.0,6876,40
Booshi,22576.0,0.15184251494540157,21776.0,800,72
Boukada,8011.0,0.09744385418150953,845.0,7166,41
Boye,281.0,0.13548698167791706,280.0,1,1
Bradley,5161.0,0.14555439422412353,5042.0,119,18
Brance,8906.0,0.15369187180531954,8501.0,405,28
Brayaron,185.0,0.13338139870223503,182.0,3,1
Breathe,28137.0,0.13329258196651972,27497.0,640,107
Breezy,1345.0,0.01694643150660431,1330.0,15,40
Brizz,2929.0,0.06473648224329948,2893.0,36,23
Broeki,11561.0,0.13688748885726,11212.0,349,42
BrokenBlade,21732.0,0.12842293040468233,21322.0,410,86
BrokenSword,1581.0,0.11768462529377628,1214.0,367,7
Brucee,8717.0,0.0937691862267615,926.0,7791,53
Bruhruto,852.0,0.01569812596735644,851.0,1,30
Bruno,804.0,0.12063468283599944,800.0,4,4
BuLLDoG,21516.0,0.14398492237154953,21246.0,270,76
BuLuKaKa,14428.0,0.1441695029525095,13950.0,478,54
Buchi,6210.0,0.13348225967039987,6104.0,106,25
Buero,3263.0,0.1372497002391855,3111.0,152,12
