playername,mean_kills,std_kills,mean_deaths,std_deaths,mean_damage,std_damage
Hinata,4.509803921568627,2.8451541189862306,3.4705882352941178,2.2746686895147663,22673.549019607843,7761.6770721635285
Hiro,1.75,0.9574271077563381,4.5,2.516611478423583,11952.75,5649.8597253973185
Hiro02,2.3448275862068964,2.0576661895903454,2.8620689655172415,2.082651776856928,18544.58620689655,4593.194869410005
Hitsu,4.136363636363637,3.7707578440699048,3.6363636363636362,1.8138476479691696,23353.409090909092,10288.24348772766
Hizto,3.5434782608695654,2.6051787888241242,2.717391304347826,1.928304303766059,13460.717391304348,5396.748138825179
Hollow,1.8,2.04939015319192,3.4,1.6733200530681511,14812.8,7070.785048352128
HongQ,3.5894736842105264,2.826526086920974,2.694736842105263,2.0476955610789074,23147.136842105265,7912.63068879404
HongSuo,5.633802816901408,3.3984846901427708,2.563380281690141,1.77065278008017,22631.014084507042,8174.93886301815
Hope,5.791666666666667,3.406852411925611,2.0694444444444446,1.5494315572938844,25448.0,9474.155067959793
Horder,3.608695652173913,2.9475282365592377,3.4130434782608696,2.6379797569480385,21372.58695652174,8617.664093337815
Horus,5.25,4.089460136806117,3.8,2.2147828692435603,24749.75,14533.516435702755
Hosanna,1.1333333333333333,1.3336157892910263,4.633333333333334,2.1704226462320273,7391.883333333333,3775.7131511434386
HotPot,3.215686274509804,2.83064462969265,5.862745098039215,2.408481744528177,13671.392156862745,6955.625099380879
Howling,2.8714285714285714,2.1394935644248427,2.3142857142857145,1.6814663816284234,20099.32857142857,8441.123731293004
Hran,5.666666666666667,4.633213427705081,1.6666666666666667,1.3662601021279464,17513.666666666668,4968.917816453263
Hub,3.59375,3.6531857506883294,3.46875,1.5446969637043444,20173.8125,9594.894776398609
Humanoid,4.017543859649122,2.85038360870813,2.6666666666666665,1.9487480718705144,24736.78947368421,10763.729084849268
Humble,3.75,3.862210075418823,4.5,1.7320508075688774,20793.0,13941.986396014976
Hummelu,4.666666666666667,0.5773502691896258,3.6666666666666665,2.5166114784235836,17685.666666666668,961.1791369632064
Humzh,4.357142857142857,2.6488645711858347,2.9285714285714284,2.6154654156878734,23052.35714285714,12392.576218211281
HungryPanda,1.4406779661016949,1.2631540496419376,4.135593220338983,2.5761346821629685,7044.067796610169,3528.4218601111997
Hungtwo,1.0,,6.0,,4760.0,
Hunt,5.5,1.9148542155126764,5.0,2.7080128015453204,19024.5,6975.818876662438
Huron,4.022222222222222,3.6274765138572387,3.022222222222222,1.840070266554673,23463.133333333335,12063.956036663325
Husha,2.590909090909091,2.062340115802132,3.227272727272727,1.6599431482467268,11370.181818181818,4769.427315490709
Hustle,4.821428571428571,3.621474750026481,3.9642857142857144,1.8555650603311358,22096.035714285714,8322.630765000278
Hustlin,0.8571428571428571,1.027105182026191,3.9285714285714284,2.6736401493753137,6280.428571428572,3503.804870626869
Huubiii,6.0,1.4142135623730951,1.5,0.7071067811865476,17985.5,5429.8729727314985
